date,berkshire_buys,berkshire_sells,llm_buys,llm_sells,buy_overlap,sell_overlap,convergence_rate,berkshire_convergence_rate,total_overlaps,total_berkshire_decisions,total_llm_decisions
2022-01-15,['OXY'],[],['MNST'],[],[],[],0.0,0.0,0,1,1
2022-03-01,"['OXY', 'CVX']",[],['ABBV'],[],[],[],0.0,0.0,0,2,1
2022-04-30,"['OXY', 'HPQ']",[],['BMY'],[],[],[],0.0,0.0,0,2,1
2022-06-15,['OXY'],[],['TPL'],[],[],[],0.0,0.0,0,1,1
2022-08-01,['OXY'],[],[],"['MNST', 'LLY', 'JKHY']",[],[],0.0,0.0,0,1,3
2022-10-31,[],['TSM'],['FSLR'],[],[],[],0.0,0.0,0,1,1
2022-12-15,['AAPL'],[],[],"['IT', 'GILD']",[],[],0.0,0.0,0,1,2
2023-01-16,[],"['USB', 'BK']",[],['GILD'],[],[],0.0,0.0,0,2,1
2023-03-01,[],['BAC'],['STT'],[],[],[],0.0,0.0,0,1,1
2023-05-01,['AAPL'],[],[],"['HCA', 'IDXX', 'MSFT']",[],[],0.0,0.0,0,1,3
2023-06-15,[],[],['TDG'],[],[],[],0.0,0.0,0,0,1
2023-08-01,[],[],['ORCL'],[],[],[],0.0,0.0,0,0,1
2023-10-31,[],['AAPL'],['SNPS'],[],[],[],0.0,0.0,0,1,1
2023-12-15,[],[],"['FICO', 'INTU']",[],[],[],0.0,0.0,0,0,2
2024-01-15,['CB'],['AAPL'],[],['LULU'],[],[],0.0,0.0,0,2,1
2024-03-01,['CB'],[],['JPM'],[],[],[],0.0,0.0,0,1,1
2024-04-30,[],[],[],['FANG'],[],[],0.0,0.0,0,0,1
2024-06-17,[],['AAPL'],['ACGL'],[],[],[],0.0,0.0,0,1,1
2024-08-01,[],[],[],"['GS', 'PM']",[],[],0.0,0.0,0,0,2
2024-10-31,[],[],[],"['FTNT', 'ORCL', 'ADSK']",[],[],0.0,0.0,0,0,3
2024-12-16,[],[],[],"['CPAY', 'KIM']",[],[],0.0,0.0,0,0,2
