date,berkshire_buys,berkshire_sells,llm_buys,llm_sells,buy_overlap,sell_overlap,convergence_rate,berkshire_convergence_rate,total_overlaps,total_berkshire_decisions,total_llm_decisions
2022-01-15,['OXY'],[],"['MNST', 'MCD']",[],[],[],0.0,0.0,0,1,2
2022-03-01,"['OXY', 'CVX']",[],"['AAPL', 'ABBV', 'MSFT']",[],[],[],0.0,0.0,0,2,3
2022-04-30,"['OXY', 'HPQ']",[],"['CF', 'BMY', 'ED']",[],[],[],0.0,0.0,0,2,3
2022-06-15,['OXY'],[],['MRK'],[],[],[],0.0,0.0,0,1,1
2022-08-01,['OXY'],[],[],"['MNST', 'JKHY', 'LLY']",[],[],0.0,0.0,0,1,3
2022-10-31,[],['TSM'],['FSLR'],[],[],[],0.0,0.0,0,1,1
2022-12-15,['AAPL'],[],[],"['GILD', 'IT']",[],[],0.0,0.0,0,1,2
2023-01-16,[],"['USB', 'BK']",[],"['PCAR', 'GILD', 'ACGL']",[],[],0.0,0.0,0,2,3
2023-03-01,[],['BAC'],['STT'],[],[],[],0.0,0.0,0,1,1
2023-05-01,['AAPL'],[],[],['HCA'],[],[],0.0,0.0,0,1,1
2023-06-15,[],[],['CPAY'],['BKNG'],[],[],0.0,0.0,0,0,2
2023-08-01,[],[],['ORCL'],[],[],[],0.0,0.0,0,0,1
2023-10-31,[],['AAPL'],"['AAPL', 'MSFT']",[],[],[],0.0,0.0,0,1,2
2023-12-15,[],[],[],"['IT', 'INTU', 'SNPS']",[],[],0.0,0.0,0,0,3
2024-01-15,['CB'],['AAPL'],['LULU'],[],[],[],0.0,0.0,0,2,1
2024-03-01,['CB'],[],[],"['SPG', 'JPM', 'PTC']",[],[],0.0,0.0,0,1,3
2024-04-30,[],[],[],"['FANG', 'WFC', 'IBKR']",[],[],0.0,0.0,0,0,3
2024-06-17,[],['AAPL'],['ACGL'],[],[],[],0.0,0.0,0,1,1
2024-08-01,[],[],[],"['PM', 'MO', 'GS']",[],[],0.0,0.0,0,0,3
2024-10-31,[],[],[],"['ORCL', 'FTNT', 'ADSK']",[],[],0.0,0.0,0,0,3
2024-12-16,[],[],[],"['SNA', 'RJF', 'CPAY']",[],[],0.0,0.0,0,0,3
