date,total_value,cash,cash_percentage,holdings_value,num_holdings,holdings
2022-01-15,99986943.92696586,94986958.7133123,94.99936189938384,4999985.213653564,1,"{'MNST': {'shares': 111222, 'cost_basis': 5013041.286687699, 'avg_price': 45.07238933563233, 'current_price': 44.95500183105469, 'value': 4999985.213653564, 'return': -0.26044216050654656, 'weight': 5.000638100616154}}"
2022-03-01,99607876.12428252,91990964.1227185,92.3531026883253,7616912.001564026,2,"{'MNST': {'shares': 111222, 'cost_basis': 5013041.286687699, 'avg_price': 45.07238933563233, 'current_price': 41.6150016784668, 'value': 4628503.716682434, 'return': -7.670744125455686, 'weight': 4.646724633408875}, 'ABBV': {'shares': 23057, 'cost_basis': 2995994.5905937958, 'avg_price': 129.93861259460448, 'current_price': 129.60958862304688, 'value': 2988408.284881592, 'return': -0.2532149335656819, 'weight': 3.0001726782658245}}"
2022-04-30,99740144.60915478,86990512.19694622,87.21715066469001,12749632.412208557,3,"{'MNST': {'shares': 111222, 'cost_basis': 5013041.286687699, 'avg_price': 45.07238933563233, 'current_price': 42.84000015258789, 'value': 4764750.49697113, 'return': -4.9528973634410995, 'weight': 4.777164215715195}, 'ABBV': {'shares': 23057, 'cost_basis': 2995994.5905937958, 'avg_price': 129.93861259460448, 'current_price': 129.9942626953125, 'value': 2997277.7149658203, 'return': 0.042827993616989524, 'weight': 3.005086594481147}, 'BMY': {'shares': 75743, 'cost_basis': 5000451.925772285, 'avg_price': 66.01866741180419, 'current_price': 65.84904479980469, 'value': 4987604.200271606, 'return': -0.25693128723948133, 'weight': 5.000598525113642}}"
2022-06-15,99525978.91788372,83997265.23276028,84.39732635241319,15528713.685123444,4,"{'MNST': {'shares': 111222, 'cost_basis': 5013041.286687699, 'avg_price': 45.07238933563233, 'current_price': 43.935001373291016, 'value': 4886538.722740173, 'return': -2.5234694213163045, 'weight': 4.909812267982743}, 'ABBV': {'shares': 23057, 'cost_basis': 2995994.5905937958, 'avg_price': 129.93861259460448, 'current_price': 122.2148208618164, 'value': 2817907.124610901, 'return': -5.944185164486504, 'weight': 2.8313282172646423}, 'BMY': {'shares': 75743, 'cost_basis': 5000451.925772285, 'avg_price': 66.01866741180419, 'current_price': 63.880672454833984, 'value': 4838513.7737464905, 'return': -3.238470330874821, 'weight': 4.8615585863652955}, 'TPL': {'shares': 5703, 'cost_basis': 2993246.964185944, 'avg_price': 524.8548069763184, 'current_price': 523.5409545898438, 'value': 2985754.064025879, 'return': -0.25032682734559275, 'weight': 2.9999745759741248}}"
2022-08-01,100610108.64366308,89460143.57578436,88.9176493115923,11149965.067878723,3,"{'ABBV': {'shares': 23057, 'cost_basis': 2995994.5905937958, 'avg_price': 129.93861259460448, 'current_price': 125.2607421875, 'value': 2888136.9326171875, 'return': -3.600061839738866, 'weight': 2.870623013484934}, 'BMY': {'shares': 75743, 'cost_basis': 5000451.925772285, 'avg_price': 66.01866741180419, 'current_price': 64.85295867919922, 'value': 4912157.649238586, 'return': -1.7657259352625743, 'weight': 4.882369888533042}, 'TPL': {'shares': 5703, 'cost_basis': 2993246.964185944, 'avg_price': 524.8548069763184, 'current_price': 587.3523559570312, 'value': 3349670.486022949, 'return': 11.907588184389596, 'weight': 3.329357786389716}}"
2022-10-31,101944292.17913167,84349508.10408132,82.74078548298355,17594784.075050354,4,"{'ABBV': {'shares': 23057, 'cost_basis': 2995994.5905937958, 'avg_price': 129.93861259460448, 'current_price': 132.11216735839844, 'value': 3046110.242782593, 'return': 1.6727550959584558, 'weight': 2.9880145103466043}, 'BMY': {'shares': 75743, 'cost_basis': 5000451.925772285, 'avg_price': 66.01866741180419, 'current_price': 68.76416778564453, 'value': 5208404.360588074, 'return': 4.15867281403115, 'weight': 5.109069129084847}, 'TPL': {'shares': 5703, 'cost_basis': 2993246.964185944, 'avg_price': 524.8548069763184, 'current_price': 743.9160766601562, 'value': 4242553.385192871, 'return': 41.73749897535415, 'weight': 4.161638964286551}, 'FSLR': {'shares': 35019, 'cost_basis': 5110635.471703033, 'avg_price': 145.93893234252928, 'current_price': 145.57000732421875, 'value': 5097716.086486816, 'return': -0.2527941053074412, 'weight': 5.000491913298443}}"
2022-12-15,103248858.11074178,84349508.10408132,81.69534234810659,18899350.00666046,4,"{'ABBV': {'shares': 23057, 'cost_basis': 2995994.5905937958, 'avg_price': 129.93861259460448, 'current_price': 147.18235778808594, 'value': 3393583.6235198975, 'return': 13.270685940968319, 'weight': 3.286800150254482}, 'BMY': {'shares': 75743, 'cost_basis': 5000451.925772285, 'avg_price': 66.01866741180419, 'current_price': 66.57172393798828, 'value': 5042342.086235046, 'return': 0.8377274911265609, 'weight': 4.8836783074412065}, 'TPL': {'shares': 5703, 'cost_basis': 2993246.964185944, 'avg_price': 524.8548069763184, 'current_price': 855.873291015625, 'value': 4881045.378662109, 'return': 63.068581946748225, 'weight': 4.727457008218764}, 'FSLR': {'shares': 35019, 'cost_basis': 5110635.471703033, 'avg_price': 145.93893234252928, 'current_price': 159.41000366210938, 'value': 5582378.918243408, 'return': 9.230622085107832, 'weight': 5.406722185978956}}"
2023-01-16,102686865.97202413,84349508.10408132,82.14245055162301,18337357.86794281,4,"{'ABBV': {'shares': 23057, 'cost_basis': 2995994.5905937958, 'avg_price': 129.93861259460448, 'current_price': 139.92715454101562, 'value': 3226300.4022521973, 'return': 7.68712374786884, 'weight': 3.141882237530909}, 'BMY': {'shares': 75743, 'cost_basis': 5000451.925772285, 'avg_price': 66.01866741180419, 'current_price': 64.87073516845703, 'value': 4913504.093864441, 'return': -1.7387994764976211, 'weight': 4.784939190960477}, 'TPL': {'shares': 5703, 'cost_basis': 2993246.964185944, 'avg_price': 524.8548069763184, 'current_price': 681.6552124023438, 'value': 3887479.6763305664, 'return': 29.875006066792142, 'weight': 3.785761343022842}, 'FSLR': {'shares': 35019, 'cost_basis': 5110635.471703033, 'avg_price': 145.93893234252928, 'current_price': 180.19000244140625, 'value': 6310073.6954956055, 'return': 23.469453660581262, 'weight': 6.144966676862759}}"
2023-03-01,102460429.89347711,79212788.95463052,77.31061546099701,23247640.938846588,5,"{'ABBV': {'shares': 23057, 'cost_basis': 2995994.5905937958, 'avg_price': 129.93861259460448, 'current_price': 141.448486328125, 'value': 3261377.749267578, 'return': 8.857931836959176, 'weight': 3.183060770541629}, 'BMY': {'shares': 75743, 'cost_basis': 5000451.925772285, 'avg_price': 66.01866741180419, 'current_price': 62.05259323120117, 'value': 4700049.56911087, 'return': -6.007504144038323, 'weight': 4.587185095746009}, 'TPL': {'shares': 5703, 'cost_basis': 2993246.964185944, 'avg_price': 524.8548069763184, 'current_price': 580.4134521484375, 'value': 3310097.917602539, 'return': 10.585526593953043, 'weight': 3.2306109988449974}, 'FSLR': {'shares': 35019, 'cost_basis': 5110635.471703033, 'avg_price': 145.93893234252928, 'current_price': 195.67999267578125, 'value': 6852517.663513184, 'return': 34.08347555709541, 'weight': 6.687964974026945}, 'STT': {'shares': 62423, 'cost_basis': 5136719.1494507985, 'avg_price': 82.28888629913331, 'current_price': 82.07868957519531, 'value': 5123598.039352417, 'return': -0.25543756075868673, 'weight': 5.000562699843403}}"
2023-05-01,100334842.77791086,79212788.95463052,78.94843581901696,21122053.823280334,5,"{'ABBV': {'shares': 23057, 'cost_basis': 2995994.5905937958, 'avg_price': 129.93861259460448, 'current_price': 141.3155059814453, 'value': 3258311.6214141846, 'return': 8.755590936110424, 'weight': 3.2474378104387838}, 'BMY': {'shares': 75743, 'cost_basis': 5000451.925772285, 'avg_price': 66.01866741180419, 'current_price': 61.69743347167969, 'value': 4673148.703445435, 'return': -6.545472832963995, 'weight': 4.657553222851362}, 'TPL': {'shares': 5703, 'cost_basis': 2993246.964185944, 'avg_price': 524.8548069763184, 'current_price': 478.39898681640625, 'value': 2728309.421813965, 'return': -8.851175514147148, 'weight': 2.719204362389865}, 'FSLR': {'shares': 35019, 'cost_basis': 5110635.471703033, 'avg_price': 145.93893234252928, 'current_price': 180.85000610351562, 'value': 6333186.363739014, 'return': 23.92170012526027, 'weight': 6.312050917105032}, 'STT': {'shares': 62423, 'cost_basis': 5136719.1494507985, 'avg_price': 82.28888629913331, 'current_price': 66.14705657958984, 'value': 4129097.712867737, 'return': -19.61605077612222, 'weight': 4.115317868198001}}"
