date,total_value,cash,cash_percentage,holdings_value,num_holdings,holdings
2022-01-15,100000000.0,100000000.0,100.0,0.0,0,{}
2022-03-01,100000000.0,100000000.0,100.0,0.0,0,{}
2022-04-30,99987221.68016605,94987289.74658756,94.99942907747551,4999931.933578491,1,"{'CF': {'shares': 55698, 'cost_basis': 5012710.253412438, 'avg_price': 89.99802961349488, 'current_price': 89.76860809326172, 'value': 4999931.933578491, 'return': -0.2549183812339373, 'weight': 5.000570922524495}}"
2022-06-15,99760792.60144596,94987289.74658756,95.21505119357963,4773502.854858398,1,"{'CF': {'shares': 55698, 'cost_basis': 5012710.253412438, 'avg_price': 89.99802961349488, 'current_price': 85.70330810546875, 'value': 4773502.854858398, 'return': -4.772017261344741, 'weight': 4.784948806420379}}"
2022-08-01,99883669.25990848,94987289.74658756,95.09791785824368,4896379.513320923,1,"{'CF': {'shares': 55698, 'cost_basis': 5012710.253412438, 'avg_price': 89.99802961349488, 'current_price': 87.90943145751953, 'value': 4896379.513320923, 'return': -2.320715425598796, 'weight': 4.902082141756322}}"
2022-10-31,100505367.57984333,89948748.10746174,89.4964620033898,10556619.472381592,2,"{'CF': {'shares': 55698, 'cost_basis': 5012710.253412438, 'avg_price': 89.99802961349488, 'current_price': 99.30006408691406, 'value': 5530814.969512939, 'return': 10.335820143360541, 'weight': 5.503004568506411}, 'FSLR': {'shares': 34525, 'cost_basis': 5038541.639125824, 'avg_price': 145.93893234252928, 'current_price': 145.57000732421875, 'value': 5025804.502868652, 'return': -0.2527941053074412, 'weight': 5.000533428103788}}"
2022-12-15,100392910.32262592,89948748.10746174,89.59671337189002,10444162.215164185,2,"{'CF': {'shares': 55698, 'cost_basis': 5012710.253412438, 'avg_price': 89.99802961349488, 'current_price': 88.70214080810547, 'value': 4940531.838729858, 'return': -1.4399079746020282, 'weight': 4.9211959518384365}, 'FSLR': {'shares': 34525, 'cost_basis': 5038541.639125824, 'avg_price': 145.93893234252928, 'current_price': 159.41000366210938, 'value': 5503630.376434326, 'return': 9.230622085107832, 'weight': 5.482090676271542}}"
2023-01-16,100711125.4533327,89948748.10746174,89.31361624902303,10762377.345870972,2,"{'CF': {'shares': 55698, 'cost_basis': 5012710.253412438, 'avg_price': 89.99802961349488, 'current_price': 81.53466033935547, 'value': 4541317.511581421, 'return': -9.403949520324117, 'weight': 4.50925107940112}, 'FSLR': {'shares': 34525, 'cost_basis': 5038541.639125824, 'avg_price': 145.93893234252928, 'current_price': 180.19000244140625, 'value': 6221059.834289551, 'return': 23.469453660581262, 'weight': 6.177132671575844}}"
2023-03-01,101161584.58621418,84877119.46707356,83.90252071895699,16284465.119140625,3,"{'CF': {'shares': 55698, 'cost_basis': 5012710.253412438, 'avg_price': 89.99802961349488, 'current_price': 80.25314331054688, 'value': 4469939.57611084, 'return': -10.82788850466877, 'weight': 4.418613641131103}, 'FSLR': {'shares': 34525, 'cost_basis': 5038541.639125824, 'avg_price': 145.93893234252928, 'current_price': 195.67999267578125, 'value': 6755851.747131348, 'return': 34.08347555709541, 'weight': 6.678277900415572}, 'STT': {'shares': 61632, 'cost_basis': 5071628.640388183, 'avg_price': 82.2888862991333, 'current_price': 82.07868957519531, 'value': 5058673.7958984375, 'return': -0.25543756075867563, 'weight': 5.000587739496332}}"
2023-05-01,98974747.92082417,84877119.46707356,85.75633810653588,14097628.45375061,3,"{'CF': {'shares': 55698, 'cost_basis': 5012710.253412438, 'avg_price': 89.99802961349488, 'current_price': 67.81224822998047, 'value': 3777006.601913452, 'return': -24.651407901698917, 'weight': 3.8161315701808163}, 'FSLR': {'shares': 34525, 'cost_basis': 5038541.639125824, 'avg_price': 145.93893234252928, 'current_price': 180.85000610351562, 'value': 6243846.460723877, 'return': 23.92170012526027, 'weight': 6.30852474180455}, 'STT': {'shares': 61632, 'cost_basis': 5071628.640388183, 'avg_price': 82.2888862991333, 'current_price': 66.14705657958984, 'value': 4076775.3911132812, 'return': -19.616050776122197, 'weight': 4.119005581478761}}"
