date,total_value,cash,cash_percentage,holdings_value,num_holdings,holdings
2022-01-15,99986943.92696586,94986958.7133123,94.99936189938384,4999985.213653564,1,"{'MNST': {'shares': 111222, 'cost_basis': 5013041.286687699, 'avg_price': 45.07238933563233, 'current_price': 44.95500183105469, 'value': 4999985.213653564, 'return': -0.26044216050654656, 'weight': 5.000638100616154}}"
2022-03-01,99578416.97317946,80007798.2086302,80.34652552287469,19570618.764549255,4,"{'MNST': {'shares': 111222, 'cost_basis': 5013041.286687699, 'avg_price': 45.07238933563233, 'current_price': 41.6150016784668, 'value': 4628503.716682434, 'return': -7.670744125455686, 'weight': 4.648099314461968}, 'AAPL': {'shares': 31089, 'cost_basis': 4992607.555900955, 'avg_price': 160.5908056193816, 'current_price': 160.20558166503906, 'value': 4980631.328384399, 'return': -0.2398792090598012, 'weight': 5.001717721347074}, 'MSFT': {'shares': 17384, 'cost_basis': 4993297.794493408, 'avg_price': 287.2352619934082, 'current_price': 286.51397705078125, 'value': 4980758.977050781, 'return': -0.25111295097308695, 'weight': 5.0018459104369}, 'BRK-B': {'shares': 15720, 'cost_basis': 4993255.154287719, 'avg_price': 317.6370963287353, 'current_price': 316.8399963378906, 'value': 4980724.742431641, 'return': -0.2509467565525614, 'weight': 5.0018115308793805}}"
2022-04-30,99320522.8930215,70048902.74962702,70.52812521444028,29271620.14339447,4,"{'MNST': {'shares': 111222, 'cost_basis': 5013041.286687699, 'avg_price': 45.07238933563233, 'current_price': 42.84000015258789, 'value': 4764750.49697113, 'return': -4.9528973634410995, 'weight': 4.7973473741205135}, 'AAPL': {'shares': 63186, 'cost_basis': 9971936.450119138, 'avg_price': 157.8187644433757, 'current_price': 154.7574462890625, 'value': 9778504.001220703, 'return': -1.9397681670556888, 'weight': 9.84540124879645}, 'MSFT': {'shares': 35809, 'cost_basis': 9972864.35927841, 'avg_price': 278.5016157747608, 'current_price': 269.58245849609375, 'value': 9653478.256286621, 'return': -3.202551358222805, 'weight': 9.71952017075506}, 'BRK-B': {'shares': 15720, 'cost_basis': 4993255.154287719, 'avg_price': 317.6370963287353, 'current_price': 322.8299865722656, 'value': 5074887.388916016, 'return': 1.6348500548424516, 'weight': 5.109605991887695}}"
2022-06-15,96510652.28347865,70048902.74962702,72.58152451801269,26461749.533851624,4,"{'MNST': {'shares': 111222, 'cost_basis': 5013041.286687699, 'avg_price': 45.07238933563233, 'current_price': 43.935001373291016, 'value': 4886538.722740173, 'return': -2.5234694213163045, 'weight': 5.063211787634643}, 'AAPL': {'shares': 63186, 'cost_basis': 9971936.450119138, 'avg_price': 157.8187644433757, 'current_price': 133.14044189453125, 'value': 8412611.961547852, 'return': -15.63712821848815, 'weight': 8.716770390109549}, 'MSFT': {'shares': 35809, 'cost_basis': 9972864.35927841, 'avg_price': 278.5016157747608, 'current_price': 245.1288604736328, 'value': 8777819.364700317, 'return': -11.982966493134583, 'weight': 9.095181886158452}, 'BRK-B': {'shares': 15720, 'cost_basis': 4993255.154287719, 'avg_price': 317.6370963287353, 'current_price': 278.92999267578125, 'value': 4384779.484863281, 'return': -12.185951861521405, 'weight': 4.543311418084672}}"
2022-08-01,99888391.73513739,75511731.97576468,75.59610347515704,24376659.75937271,4,"{'MNST': {'shares': 1, 'cost_basis': 45.072389335371554, 'avg_price': 45.072389335371554, 'current_price': 49.244998931884766, 'value': 49.244998931884766, 'return': 9.25757355676431, 'weight': 4.9300021830827035e-05}, 'AAPL': {'shares': 63186, 'cost_basis': 9971936.450119138, 'avg_price': 157.8187644433757, 'current_price': 158.77955627441406, 'value': 10032645.042755127, 'return': 0.6087944196160988, 'weight': 10.043854814839289}, 'MSFT': {'shares': 35809, 'cost_basis': 9972864.35927841, 'avg_price': 278.5016157747608, 'current_price': 270.68743896484375, 'value': 9693046.50189209, 'return': -2.805792270963625, 'weight': 9.703876830446957}, 'BRK-B': {'shares': 15720, 'cost_basis': 4993255.154287719, 'avg_price': 317.6370963287353, 'current_price': 295.8599853515625, 'value': 4650918.9697265625, 'return': -6.855972186143777, 'weight': 4.656115579534879}}"
2022-10-31,97787158.08007117,70609497.29944678,72.20733139788102,27177660.78062439,5,"{'MNST': {'shares': 1, 'cost_basis': 45.072389335371554, 'avg_price': 45.072389335371554, 'current_price': 46.86000061035156, 'value': 46.86000061035156, 'return': 3.966089442649401, 'weight': 4.792040338464601e-05}, 'AAPL': {'shares': 63186, 'cost_basis': 9971936.450119138, 'avg_price': 157.8187644433757, 'current_price': 150.95709228515625, 'value': 9538374.833129883, 'return': -4.347817689753475, 'weight': 9.754220309091675}, 'MSFT': {'shares': 35809, 'cost_basis': 9972864.35927841, 'avg_price': 278.5016157747608, 'current_price': 226.49563598632812, 'value': 8110582.229034424, 'return': -18.67349302220663, 'weight': 8.294117947873305}, 'BRK-B': {'shares': 15720, 'cost_basis': 4993255.154287719, 'avg_price': 317.6370963287353, 'current_price': 295.0899963378906, 'value': 4638814.742431641, 'return': -7.098383737745095, 'weight': 4.743787255411631}, 'FSLR': {'shares': 33591, 'cost_basis': 4902234.676317901, 'avg_price': 145.93893234252928, 'current_price': 145.57000732421875, 'value': 4889842.116027832, 'return': -0.2527941053074412, 'weight': 5.000495169338982}}"
2022-12-15,97940141.85435171,70609497.29944678,72.09454260792397,27330644.554904938,5,"{'MNST': {'shares': 1, 'cost_basis': 45.072389335371554, 'avg_price': 45.072389335371554, 'current_price': 49.82500076293945, 'value': 49.82500076293945, 'return': 10.544396464551697, 'weight': 5.087291055493362e-05}, 'AAPL': {'shares': 63186, 'cost_basis': 9971936.450119138, 'avg_price': 157.8187644433757, 'current_price': 134.60169982910156, 'value': 8504943.005401611, 'return': -14.711219350981718, 'weight': 8.683817323901208}, 'MSFT': {'shares': 35809, 'cost_basis': 9972864.35927841, 'avg_price': 278.5016157747608, 'current_price': 243.65061950683594, 'value': 8724885.033920288, 'return': -12.5137501163048, 'weight': 8.908385130680326}, 'BRK-B': {'shares': 15720, 'cost_basis': 4993255.154287719, 'avg_price': 317.6370963287353, 'current_price': 301.9100036621094, 'value': 4746025.257568359, 'return': -4.9512770543492675, 'weight': 4.845842744057126}, 'FSLR': {'shares': 33591, 'cost_basis': 4902234.676317901, 'avg_price': 145.93893234252928, 'current_price': 159.41000366210938, 'value': 5354741.433013916, 'return': 9.230622085107832, 'weight': 5.467361320526811}}"
2023-01-16,98421731.07343316,65675172.7648394,66.72832518647603,32746558.308593757,6,"{'MNST': {'shares': 1, 'cost_basis': 45.072389335371554, 'avg_price': 45.072389335371554, 'current_price': 51.040000915527344, 'value': 51.040000915527344, 'return': 13.240060418702004, 'weight': 5.1858466985757474e-05}, 'AAPL': {'shares': 63186, 'cost_basis': 9971936.450119138, 'avg_price': 157.8187644433757, 'current_price': 132.8858642578125, 'value': 8396526.21899414, 'return': -15.798438337482335, 'weight': 8.531171040600203}, 'MSFT': {'shares': 35809, 'cost_basis': 9972864.35927841, 'avg_price': 278.5016157747608, 'current_price': 234.0811004638672, 'value': 8382210.12651062, 'return': -15.94982319485675, 'weight': 8.516625378450815}, 'BRK-B': {'shares': 15720, 'cost_basis': 4993255.154287719, 'avg_price': 317.6370963287353, 'current_price': 317.6400146484375, 'value': 4993301.0302734375, 'return': 0.0009187590920278765, 'weight': 5.073372491841156}, 'FSLR': {'shares': 33591, 'cost_basis': 4902234.676317901, 'avg_price': 145.93893234252928, 'current_price': 180.19000244140625, 'value': 6052762.372009277, 'return': 23.469453660581262, 'weight': 6.149823119340654}, 'GILD': {'shares': 62549, 'cost_basis': 4934324.534607372, 'avg_price': 78.8873448753357, 'current_price': 78.68563079833984, 'value': 4921707.520805359, 'return': -0.255698904956958, 'weight': 5.00063092482415}}"
2023-03-01,99295734.66662621,65675172.7648394,66.14098076351023,33620561.90178681,6,"{'MNST': {'shares': 1, 'cost_basis': 45.072389335371554, 'avg_price': 45.072389335371554, 'current_price': 49.595001220703125, 'value': 49.595001220703125, 'return': 10.034107248408851, 'weight': 4.994675892898373e-05}, 'AAPL': {'shares': 63186, 'cost_basis': 9971936.450119138, 'avg_price': 157.8187644433757, 'current_price': 143.5079345703125, 'value': 9067692.353759766, 'return': -9.06788867821724, 'weight': 9.132005905594514}, 'MSFT': {'shares': 35809, 'cost_basis': 9972864.35927841, 'avg_price': 278.5016157747608, 'current_price': 241.5731658935547, 'value': 8650493.4974823, 'return': -13.259689635363603, 'weight': 8.71184802300453}, 'BRK-B': {'shares': 15720, 'cost_basis': 4993255.154287719, 'avg_price': 317.6370963287353, 'current_price': 304.6199951171875, 'value': 4788626.3232421875, 'return': -4.098104837879479, 'weight': 4.8225901538665665}, 'FSLR': {'shares': 33591, 'cost_basis': 4902234.676317901, 'avg_price': 145.93893234252928, 'current_price': 195.67999267578125, 'value': 6573086.633972168, 'return': 34.08347555709541, 'weight': 6.619706935086926}, 'GILD': {'shares': 62549, 'cost_basis': 4934324.534607372, 'avg_price': 78.8873448753357, 'current_price': 72.59290313720703, 'value': 4540613.498329163, 'return': -7.9790259744141, 'weight': 4.572818272178297}}"
2023-05-01,102918611.10263443,76381278.12895203,74.21522435119306,26537332.973682404,5,"{'MNST': {'shares': 1, 'cost_basis': 45.072389335371554, 'avg_price': 45.072389335371554, 'current_price': 56.84000015258789, 'value': 56.84000015258789, 'return': 26.1082471791249, 'weight': 5.52281065043764e-05}, 'AAPL': {'shares': 63186, 'cost_basis': 9971936.450119138, 'avg_price': 157.8187644433757, 'current_price': 167.48683166503906, 'value': 10582822.945587158, 'return': 6.126056844864092, 'weight': 10.282710612013172}, 'BRK-B': {'shares': 15720, 'cost_basis': 4993255.154287719, 'avg_price': 317.6370963287353, 'current_price': 330.1700134277344, 'value': 5190272.611083984, 'return': 3.9456717253290474, 'weight': 5.043084584485932}, 'FSLR': {'shares': 33591, 'cost_basis': 4902234.676317901, 'avg_price': 145.93893234252928, 'current_price': 180.85000610351562, 'value': 6074932.555023193, 'return': 23.92170012526027, 'weight': 5.90265695381862}, 'GILD': {'shares': 62549, 'cost_basis': 4934324.534607372, 'avg_price': 78.8873448753357, 'current_price': 74.96919250488281, 'value': 4689248.021987915, 'return': -4.966769228505119, 'weight': 4.5562682703827155}}"
