date,ticker,action,shares,price,cost,proceeds,gain_loss
2022-01-15,MNST,BUY,111222,44.95500183105469,5013041.286687699,,
2022-03-01,ABBV,BUY,23057,129.60958862304688,2995994.5905937958,,
2022-04-30,BMY,BUY,75743,65.84904479980469,5000451.925772285,,
2022-06-15,TPL,BUY,5703,523.5409545898438,2993246.964185944,,
2022-08-01,MNST,SELL,111222,49.244998931884766,,5462878.3430240825,449837.05633638334
2022-10-31,FSLR,BUY,35019,145.57000732421875,5110635.471703033,,
2023-03-01,STT,BUY,62423,82.07868957519531,5136719.1494507985,,
2023-06-15,TDG,BUY,6643,753.3768920898438,5017227.615888214,,
2023-08-01,ORCL,BUY,43931,115.1172103881836,5070076.859987202,,
2023-10-31,SNPS,BUY,10380,469.44000244140625,4885021.093405152,,
2023-12-15,FICO,BUY,2681,1129.780029296875,3036526.014191284,,
2023-12-15,INTU,BUY,6709,602.0216064453125,4049093.9100357057,,
2024-03-01,JPM,BUY,28989,179.17674255371094,5207284.921364251,,
2024-06-17,ACGL,BUY,58503,94.33863830566406,5533183.605188254,,
2024-10-31,ORCL,SELL,43931,166.47543334960938,,7294929.026825485,2224852.1668382827
