date,ticker,action,shares,price,cost,proceeds,gain_loss
2022-01-15,MNST,BUY,111222,44.95500183105469,5013041.286687699,,
2022-03-01,AAPL,BUY,31089,160.20558166503906,4992607.555900955,,
2022-03-01,MSFT,BUY,17384,286.51397705078125,4993297.794493408,,
2022-03-01,BRK-B,BUY,15720,316.8399963378906,4993255.154287719,,
2022-04-30,AAPL,BUY,32097,154.7574462890625,4979328.894218183,,
2022-04-30,MSFT,BUY,18425,269.58245849609375,4979566.564785004,,
2022-08-01,MNST,REDUCE,111221,49.244998931884766,,5462829.226137647,449833.01183928363
2022-10-31,FSLR,BUY,33591,145.57000732421875,4902234.676317901,,
2023-01-16,GILD,BUY,62549,78.68563079833984,4934324.534607372,,
2023-05-01,MSFT,SELL,35809,299.7323913574219,,10706105.364112625,733241.0048342142
2023-08-01,ORCL,BUY,45758,115.1172103881836,5280930.936224861,,
2023-10-31,SNPS,BUY,10777,469.44000244140625,5071856.678576812,,
2024-01-15,LULU,BUY,10837,479.94000244140625,5214166.765973663,,
2024-03-01,AAPL,BUY,29303,178.37904357910156,5240255.231783409,,
2024-03-01,MSFT,BUY,12720,410.9206848144531,5240041.988616943,,
2024-06-17,ACGL,BUY,59021,94.33863830566406,5582175.778367195,,
2024-10-31,ORCL,SELL,45758,166.47543334960938,,7598310.132013397,2317379.195788536
